epoch,mpe_mpe-large-spread-v2_ac_att_JAMMAS_1 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_2 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_3 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_4 - episode_return__MAX
483,-371.1,-296.4,-254.6,-222.1
484,-321.9,-310.4,-237,-246.6
485,-342.9,-259.9,-241,-205.4
486,-494,-288.2,-216.8,-204.8
487,-331.1,-277.7,-204.6,-194.9
488,-368.4,-336,-224.7,-219.1
489,-309,-314.2,-189.2,-188.8
490,-315.3,-260.4,-188.4,-191.1
491,-312.2,-320.3,-191.1,-216
492,-420.5,-296.1,-204.3,-197.7
493,-318.9,-338,-231.8,-210.2
494,-336.6,-317.8,-206.8,-201.6
495,-377.1,-256.9,-249.6,-187
496,-351,-301.5,-206,-216.7
497,-328.1,-318.4,-185,-201.1
498,-393.8,-321,-214.7,-213.7
499,-500.6,-232.5,-264.6,-189.5
500,-343.3,-263,-230.6,-203.6
501,-366.6,-274.6,-212,-213.1
502,-346.4,-313.8,-214.1,-208.5
503,-332.2,-238.9,-268.4,-208.7
504,-404.2,-275.4,-224,-189.1
505,-406.1,-243.1,-226.6,-225.6
506,-364.8,-292.1,-217.6,-249
507,-530.5,-249.9,-207.7,-234
508,-330.1,-310.9,-215.8,-200.7
509,-401.1,-240.9,-186.9,-172.8
510,-305.9,-282,-257.8,-200
511,-448.7,-339.4,-217.9,-192.6
512,-316.3,-283.3,-242.7,-177.1
513,-432.8,-273.8,-193.4,-169.6
514,-299.5,-276.1,-206.4,-139.6
515,-399,-231.5,-226.6,-199
516,-271.9,-272.4,-217.5,-184.3
517,-332.8,-308.1,-188.3,-220.3
518,-360.1,-286.8,-245.6,-223.1
519,-410.5,-287.3,-238.7,-239.1
520,-333,-255.9,-231,-176.4
521,-262.9,-293.1,-208.3,-237.6
522,-369,-292.4,-219.2,-168.1
523,-349,-311.9,-203.2,-232.5
524,-294.8,-290.6,-242.3,-179
525,-310.2,-268.4,-206.9,-228.1
526,-444.3,-234.6,-253.2,-217.1
527,-412.5,-282.1,-259.3,-175.7
528,-410.7,-282.2,-198.2,-196
529,-374.2,-298.3,-237.2,-189.5
530,-404.6,-337.9,-208.4,-184.2
531,-343.5,-305.1,-226.9,-216.1
532,-315.1,-285.9,-226.6,-210.5
533,-394.9,-322.4,-212.5,-220.8
534,-344,-289.4,-191.7,-268.3
535,-361.3,-310.4,-178.4,-232.1
536,-414.3,-263.5,-223.7,-183.6
537,-454.5,-310.9,-172.8,-181.5
538,-418.1,-329.8,-238.1,-193.3
539,-317.6,-279.8,-203.8,-228
540,-466.2,-256.7,-219.8,-197
541,-371,-244.5,-236.8,-162.1
542,-379.9,-345.6,-194.2,-183.6
543,-338.7,-300,-193.3,-156.8
544,-292.3,-273.8,-195.4,-171.9
545,-292.8,-250.8,-179.2,-167.3
546,-334.1,-279.8,-177,-169.6
547,-341.6,-282.7,-165.1,-180.5
548,-311.7,-282.4,-200.4,-153.8
549,-323.8,-282.2,-188.3,-174.4
550,-331.7,-309.2,-222.6,-196.8
551,-359.4,-272.8,-193.7,-211.2
552,-312.7,-288.7,-213.1,-189.8
553,-475.7,-249.6,-223.5,-192.8
554,-363.8,-219.6,-208.3,-251.4
555,-430.9,-247.8,-219.5,-191.6
556,-466.7,-249.7,-298.2,-177.8
557,-324.4,-321.2,-263.2,-224.4
558,-346.2,-270.9,-197.2,-226.9
559,-432.9,-279,-182.3,-175.7
560,-327.9,-249.4,-171.2,-185.4
561,-369.9,-269.2,-209.1,-225.3
562,-339.9,-248.8,-194,-206.7
563,-359,-278.9,-254.6,-168
564,-351.2,-291.8,-200.1,-185.3
565,-389.7,-266.9,-216.6,-169.4
566,-278.5,-230.7,-191.7,-173.4
567,-365.5,-202.4,-191.5,-188
568,-382.2,-260.1,-184.5,-186.8
569,-335.7,-275.9,-208,-196.1
570,-316.9,-288,-174.1,-186.7
571,-294.9,-242.4,-212.1,-196.9
572,-276.9,-245.1,-189,-184.5
573,-273.3,-239.1,-207.9,-174.2
574,-338.8,-240.2,-230.4,-166.6
575,-302.6,-276.3,-204.2,-175.1
576,-297.2,-225.2,-230.1,-167.6
577,-325,-288.8,-244.2,-188.5
578,-438,-283.6,-190.5,-154.1
579,-392,-268.1,-257.2,-181.6
580,-273,-273.2,-329.4,-190.6
581,-283.3,-243.1,-247.4,-143.9
582,-340.6,-251.6,-216.9,-189.2
583,-293.7,-278.2,-205.7,-164.8
584,-305.2,-249.5,-217.6,-154.8
585,-282.3,-270.7,-196.5,-179.5
586,-308.8,-229.2,-232.6,-175.9
587,-307.2,-225.4,-202.6,-181.5
588,-323.4,-253.3,-183.5,-192.8
589,-346.6,-230.5,-216.8,-144.9
590,-334.7,-267.9,-235.2,-144.9
591,-319.8,-309.2,-190.1,-185.1
592,-353.6,-276.1,-203.2,-188.9
593,-325.6,-260.3,-184,-188.2
594,-365.3,-266,-183.5,-154.5
595,-311.1,-251.1,-180.5,-170.1
596,-324.8,-227.8,-151.9,-198
597,-401.8,-271.8,-241.9,-170.5
598,-318.9,-281,-180.4,-194.3
599,-353.4,-216.1,-206.5,-186.5
600,-313.8,-254.2,-194.4,-169.4
601,-314.3,-241.4,-212,-200.7
602,-260,-324.1,-184.8,-193.7
603,-378.9,-303.8,-202.7,-216.7
