epoch,tj_easy_ac_att_JAMMAS_1 - episode_return__MAX,tj_easy_ac_att_JAMMAS_2 - episode_return__MAX,tj_easy_ac_att_JAMMAS_3 - episode_return__MAX,tj_easy_ac_att_JAMMAS_4 - episode_return__MAX,,,,,,,,,,,,,,,,,,
138,-17.6,-17.6,-17.6,-16.8,,,,,,,,,,,,,,,,,,
139,-21.6,-21.6,-21.6,-20,,,,,,,,,,,,,,,,,,
140,-25.6,-25.6,-25.6,-28.8,,,,,,,,,,,,,,,,,,
141,-15.2,-15.2,-15.2,-15.2,,,,,,,,,,,,,,,,,,
142,-24,-24,-24,-24,,,,,,,,,,,,,,,,,,
143,-18.4,-18.4,-18.4,-18.4,,,,,,,,,,,,,,,,,,
144,-22.4,-22.4,-22.4,-27.2,,,,,,,,,,,,,,,,,,
145,-20,-20,-20,-22.4,,,,,,,,,,,,,,,,,,
146,-18.4,-18.4,-18.4,-18.4,,,,,,,,,,,,,,,,,,
147,-24,-24,-24,-24,,,,,,,,,,,,,,,,,,
148,-21.6,-21.6,-21.6,-21.6,,,,,,,,,,,,,,,,,,
149,-24,-24,-24,-24,,,,,,,,,,,,,,,,,,
150,-22.4,-22.4,-22.4,-21.6,,,,,,,,,,,,,,,,,,
151,-18.4,-18.4,-18.4,-22.4,,,,,,,,,,,,,,,,,,
152,-20.8,-20.8,-20.8,-18.4,,,,,,,,,,,,,,,,,,
153,-15.2,-15.2,-15.2,-15.2,,,,,,,,,,,,,,,,,,
154,-20,-20,-20,-20,,,,,,,,,,,,,,,,,,
155,-20,-20,-20,-21.6,,,,,,,,,,,,,,,,,,
156,-24.8,-24.8,-24.8,-24.8,,,,,,,,,,,,,,,,,,
157,-24.8,-24.8,-24.8,-24,,,,,,,,,,,,,,,,,,
158,-19.2,-19.2,-19.2,-18.4,,,,,,,,,,,,,,,,,,
159,-21.6,-21.6,-21.6,-25.6,,,,,,,,,,,,,,,,,,
160,-32,-32,-32,-24,,,,,,,,,,,,,,,,,,
161,-19.2,-19.2,-19.2,-20.8,,,,,,,,,,,,,,,,,,
162,-24,-24,-24,-22.4,,,,,,,,,,,,,,,,,,
163,-21.6,-21.6,-21.6,-22.4,,,,,,,,,,,,,,,,,,
164,-20.8,-20.8,-20.8,-21.6,,,,,,,,,,,,,,,,,,
165,-24,-24,-24,-24,,,,,,,,,,,,,,,,,,
166,-18.4,-18.4,-18.4,-18.4,,,,,,,,,,,,,,,,,,
167,-21.6,-21.6,-21.6,-25.6,,,,,,,,,,,,,,,,,,
168,-28.8,-28.8,-28.8,-19.2,,,,,,,,,,,,,,,,,,
169,-20.8,-20.8,-20.8,-21.6,,,,,,,,,,,,,,,,,,
170,-21.6,-21.6,-21.6,-22.4,,,,,,,,,,,,,,,,,,
171,-26.4,-26.4,-26.4,-26.4,,,,,,,,,,,,,,,,,,
172,-24.8,-24.8,-24.8,-26.4,,,,,,,,,,,,,,,,,,
173,-24,-24,-24,-23.2,,,,,,,,,,,,,,,,,,
174,-20.8,-20.8,-20.8,-20,,,,,,,,,,,,,,,,,,
175,-18.4,-18.4,-18.4,-19.2,,,,,,,,,,,,,,,,,,
176,-24,-24,-24,-22.4,,,,,,,,,,,,,,,,,,
177,-21.6,-21.6,-21.6,-20.8,,,,,,,,,,,,,,,,,,
178,-18.4,-18.4,-18.4,-19.2,,,,,,,,,,,,,,,,,,
179,-23.2,-23.2,-23.2,-22.4,,,,,,,,,,,,,,,,,,
180,-20.8,-20.8,-20.8,-20.8,,,,,,,,,,,,,,,,,,
