epoch,mpe_mpe-large-spread-v1_ac_att_noise_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return
561,-282.2,-203.3
562,-306,-244.7
563,-377.2,-230.1
564,-266.7,-178.2
565,-276.8,-239.2
566,-263.6,-231.9
567,-254.8,-206.8
568,-291.8,-207.9
569,-247.4,-193.7
570,-306.5,-262.3
571,-310.5,-242.7
572,-381.3,-190.3
573,-228.5,-194.8
574,-312.1,-185
575,-199.5,-188.3
576,-258,-233.8
577,-272.2,-169.3
578,-293.1,-200.5
579,-257.5,-216.5
580,-277.6,-184.4
581,-253.3,-186.4
582,-243.5,-189.3
583,-291.5,-202.6
584,-290.3,-230.9
585,-258.6,-222.8
586,-251.8,-192
587,-294.4,-175.8
588,-239.7,-229.6
589,-293,-214.1
590,-228.1,-234.6
591,-217.9,-190.7
592,-268.7,-203.6
593,-255.8,-179.7
594,-261.4,-208.6
595,-300,-203.3
596,-303.2,-179.9
597,-284.8,-199.8
598,-228.3,-186.7
599,-263.2,-178.1
600,-230.6,-221.7
601,-232,-192.3
602,-285.5,-172
603,-277.2,-199.5
604,-257.4,-207.9
605,-237.7,-255.6
606,-265.6,-194.5
607,-291.7,-207.2
608,-308.1,-211.6
609,-279.5,-248.2
610,-256.6,-174.6
611,-262.1,-204.2
612,-255.7,-239
613,-232.1,-199.4
614,-271.2,-209.3
615,-261.6,-218.9
616,-251.5,-238.6
617,-295.8,-199.4
618,-218.8,-226.8
619,-260.2,-210.5
620,-289,-193.8
621,-237.4,-160.3
622,-300.5,-218
623,-256.7,-180.7
624,-305,-199.7
625,-211.4,-254
626,-279.3,-199.1
627,-282,-234.7
628,-280.6,-175
629,-252.8,-279.1
630,-293.6,-226.7
631,-251.9,-207.7
632,-254.4,-235.8
633,-230.3,-194.5
634,-255.1,-173.7
635,-227.2,-227.1
636,-304.2,-257.6
637,-228.1,-231.4
638,-255.6,-224.8
639,-286.8,-177.1
640,-352.4,-212.2
641,-245.6,-205.6
642,-280.3,-179.8
643,-271.7,-208.9
644,-261.6,-195.6
645,-240.5,-223.3
646,-287.2,-239.4
647,-288,-209.5
648,-284.9,-201.6
649,-276.6,-214.6
650,-234.6,-211.5
651,-251,-199.5
652,-245.8,-240.4
653,-223.9,-227.5
654,-310.7,-170.7
655,-216.2,-195.3
656,-277.7,-168.6
657,-278.1,-207.7
658,-288.4,-205
659,-238.7,-204.1
660,-230.9,-188.3
661,-262,-183.1
662,-220.7,-199.9
663,-268.8,-185.8
664,-231.3,-218.4
665,-244.6,-197
666,-282.5,-176.8
667,-301.6,-208.2
668,-278.4,-244.1
669,-264.9,-208.4
670,-278,-215.9
671,-266.5,-195.3
672,-265.1,-216.5
673,-215.4,-178.2
674,-236.9,-164.3
675,-205.4,-174.7
676,-293.5,-217.3
677,-306.2,-216.5
678,-288.9,-190.4
679,-276.5,-232.1
680,-217.2,-198.4
681,-324.8,-188.8
682,-288.4,-205.8
683,-224.4,-179.9
684,-268.1,-186.5
685,-248.4,-239
686,-253.5,-199.3
687,-234.5,-215.7
688,-254.7,-230.3
689,-295.8,-214.7
690,-250.7,-152.3
691,-243.6,-191.5
692,-215.8,-218.3
693,-265,-190.6
694,-237.7,-174.5
695,-243.6,-191.2
696,-263,-173
697,-253.9,-180.5
698,-268.3,-191.5
699,-224,-238.9
700,-263.9,-173.9
