epoch,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_2 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_3 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_4 - episode_return
305,-255.6,-218.8,-240.3,-238.4
306,-235.2,-201.2,-245.4,-275.3
307,-304.3,-266.8,-183.6,-272.5
308,-227.8,-213.6,-268.8,-265.6
309,-229.1,-210.3,-315.5,-169.7
310,-268.5,-229.5,-256.1,-199.7
311,-229.9,-241.6,-292.5,-236.6
312,-323.4,-212.8,-252.3,-229.8
313,-270.1,-197.8,-246.5,-221.8
314,-262.9,-268.9,-245.6,-266.6
315,-359.3,-194.1,-261.9,-206.7
316,-293,-174.6,-250.3,-255.5
317,-235.3,-240.1,-194.3,-233.9
318,-222.2,-197.6,-243.3,-237.3
319,-295.5,-251.4,-258.4,-206.5
320,-289.9,-191,-244.4,-206.8
321,-279.8,-197.6,-190.5,-189
322,-302.1,-197,-289.5,-200.3
323,-368.8,-234.6,-204.5,-245.2
324,-277.3,-208.4,-280,-237.3
325,-294.6,-207.4,-214.4,-177.5
326,-193.9,-189.2,-217.2,-187.9
327,-277.5,-189.4,-187.1,-206.9
328,-322.7,-207,-241.2,-225.7
329,-212.2,-211,-276.6,-183.7
330,-321.8,-187.4,-261.8,-228.2
331,-276.9,-213.6,-222.8,-218.1
332,-266.3,-198.1,-279.2,-198.7
333,-273,-213.1,-219,-183.9
334,-272.2,-260,-285.8,-191.5
335,-224.9,-176.6,-209.1,-200.4
336,-271.7,-162.7,-197.3,-217.5
337,-272.5,-206.6,-233.7,-179.8
338,-280.6,-179.7,-204.3,-153.6
339,-207.5,-211.3,-229.2,-204.1
340,-200.5,-200.6,-266.7,-233.7
341,-212.8,-229.4,-190.7,-197.5
342,-255.1,-208.3,-307.5,-173.5
343,-181.7,-224.9,-251.5,-188.3
344,-227,-198.8,-217.1,-190
345,-281.8,-214.6,-193.3,-189.3
346,-244.6,-174.5,-171.1,-158.4
347,-337.2,-212.7,-219.5,-211.1
348,-251.5,-205.3,-196.7,-209.3
349,-199.8,-197.1,-227.5,-217.1
350,-239.4,-201.2,-238.9,-199.4
351,-271.5,-222.9,-203,-196.5
352,-280,-153.5,-319.2,-210.5
353,-238.4,-237.1,-219.7,-221
354,-247.9,-152.8,-200.8,-217.4
355,-232.7,-190.8,-237.3,-167.3
356,-234.3,-211,-219.6,-199.1
357,-225.8,-178.6,-190.7,-214.6
358,-246.2,-222.7,-217.6,-183.8
359,-230.7,-198.7,-192.4,-210.8
360,-222.5,-198.1,-197.3,-181.8
361,-175.7,-233.8,-232.6,-184.4
362,-255.7,-180.8,-202.5,-173.9
363,-273.5,-230.5,-208.9,-187.3
364,-250.1,-203.2,-222.8,-171.7
365,-227.2,-196.9,-211.4,-202.1
366,-295.8,-187,-188,-157.7
367,-272.6,-208,-154.6,-195.6
368,-214.9,-212.9,-223.7,-206.9
369,-246.3,-212.3,-241.5,-176.2
370,-273.7,-197.9,-172.1,-203
371,-219.8,-168.9,-204.5,-174.3
372,-233.9,-218.2,-168.2,-164.6
373,-293.6,-202,-197.7,-184
374,-264.4,-169.7,-194.8,-163
375,-242,-208.4,-187.3,-136.5
376,-229.5,-189.4,-170.9,-208
377,-285.8,-164.5,-180.2,-184.9
378,-276.8,-235.5,-181.3,-222.3
379,-246.7,-209.7,-188.8,-197
380,-297.8,-177.7,-195,-193
381,-202,-193.4,-247.5,-187.3
382,-255,-155.1,-184.6,-240.6
383,-238,-206.5,-199.9,-150.2
384,-291.8,-185.9,-206.6,-160
385,-199.1,-195.5,-196.2,-165.6
386,-277.4,-189.7,-204.2,-182.6
387,-200.6,-183.3,-195.6,-173.6
388,-208.4,-173.8,-212.2,-179.4
389,-280.8,-161,-175.8,-199.9
390,-258,-189.6,-184.3,-194.9
391,-231.9,-167,-165.7,-194.1
392,-236.6,-181.5,-208.8,-180.4
393,-283.4,-206.9,-199.1,-164.8
394,-223.5,-172.7,-177.9,-197
395,-222.8,-212.6,-182.5,-179.1
396,-234.5,-222.8,-197.8,-173.6
397,-216.7,-195.6,-176.5,-175.6
398,-250.5,-198.6,-157.9,-189.8
399,-299.1,-201.8,-192,-180.4
400,-222.3,-182.6,-180.8,-177.9
401,-256.3,-192.1,-159.1,-200.3
402,-221.3,-158.3,-186.6,-167.3
403,-209.3,-187.1,-183.5,-139.9
404,-217.2,-190,-170.2,-204.9
405,-255.3,-169.8,-193,-172
406,-205.4,-168.5,-204.1,-192.3
407,-245,-192.2,-168.3,-131.5
408,-255.6,-177.3,-176.2,-200.8
409,-192.6,-157,-208,-176.1
410,-266.8,-187.3,-195,-172
411,-194.6,-167.6,-199.5,-146.4
412,-230.4,-159.9,-196.8,-188.5
413,-205.1,-178.6,-196,-177.2
414,-276.7,-176.4,-137.7,-205.9
415,-188.5,-151.1,-185.9,-167.4
416,-247.8,-173.6,-185.1,-185.8
417,-220.5,-188.4,-187.3,-144.3
418,-222,-148.4,-198.8,-169.8
419,-240.5,-165.4,-143.5,-179.7
420,-236.9,-156,-145.6,-164.5
421,-245.2,-183,-193.8,-188.1
422,-222,-190.2,-209.1,-176.5
423,-232.4,-163.5,-190.2,-147.7
424,-191.2,-197.6,-153.7,-164.9
425,-191.3,-176.9,-148,-164.1
426,-210.6,-163.7,-181.1,-181.2
427,-204.9,-181.2,-185.7,-146.1
428,-216.7,-164.5,-173,-171.8
429,-266.6,-182.4,-156.3,-159.5
430,-268.3,-167.2,-162.8,-121
431,-236.1,-134.6,-179,-176
432,-218.1,-166.6,-148.2,-145.4
433,-257.2,-184.4,-155.3,-144.6
434,-267.8,-168.4,-163.1,-160.7
435,-201.6,-148.4,-164,-189.9
436,-229.4,-145.1,-176.6,-149.6
437,-169.1,-157.1,-149,-150.7
438,-202.4,-178.6,-177.2,-176.9
439,-220.3,-188.2,-184.3,-151.6
440,-230.6,-157.9,-176.9,-161.2
441,-251.7,-171.1,-176.9,-164.2
442,-208.2,-151.5,-143.9,-176.2
443,-248.6,-154.6,-139.6,-176.1
444,-206.5,-163.1,-164.4,-179.4
445,-187.8,-162.9,-186.9,-178
446,-214.9,-194.5,-143.8,-167.3
447,-238.5,-181,-206,-179.6
448,-240.9,-182.1,-205.4,-152.1
449,-221.7,-203.1,-210.7,-162.1
450,-265.9,-153.5,-168.1,-173.9
451,-306.2,-174.8,-151,-164.5
452,-267.2,-166,-150.8,-194.4
453,-288.1,-176.6,-144.8,-160.8
454,-194.6,-162.9,-191.9,-162.8
455,-287.8,-154.8,-167.9,-142
456,-267.6,-135.1,-136.2,-182.9
457,-208.3,-167.4,-141.5,-168.8
458,-214,-130.1,-163.7,-181.9
459,-252.7,-160.4,-142.2,-201.5
460,-232.6,-168,-170.9,-171.6
461,-215.3,-157,-154.6,-185.4
462,-212.3,-150.3,-167.1,-145.3
463,-222.4,-151,-169.8,-161.8
464,-217.5,-163.3,-166.7,-155.1
465,-266.3,-129.7,-170.5,-178.6
466,-260.9,-160,-146.6,-156.2
467,-225.9,-151.2,-172.5,-151
468,-223.2,-148.3,-162.4,-185.1
469,-236,-144.1,-161.3,-148.8
470,-228.5,-154.6,-205.2,-132.6
471,-198.2,-146,-164.6,-168.4
472,-266.7,-170.9,-165.4,-176.7
473,-203.9,-129,-164,-155.7
474,-247.3,-127.3,-152.7,-143.2
475,-208.9,-119.8,-178.1,-167.1
476,-230.1,-152.1,-171.1,-151.8
477,-222,-152.9,-145.4,-154.4
478,-185.6,-143.3,-149.1,-147.3
479,-254.9,-155.1,-160,-166.7
480,-220.3,-144.1,-159.5,-169.8
481,-269.3,-167,-160.5,-160.1
482,-222.8,-170.4,-167.1,-122.2
483,-222.5,-154.3,-160.7,-157.9
484,-213,-130.7,-197.2,-133.2
485,-214.8,-150,-173.9,-167
486,-231.9,-150.4,-179.2,-171.5
487,-212.4,-140,-196.5,-159.1
488,-249.4,-154.5,-145.8,-145.3
489,-199.5,-157.4,-155.4,-157.8
490,-181.8,-158,-131.2,-170.8
491,-198.7,-157.7,-131.9,-154.1
492,-229.8,-160.8,-144.3,-170.4
493,-260.9,-141.6,-171.8,-145.3
494,-270.6,-153.1,-162.1,-137.5
495,-198.6,-176.1,-187,-145.8
496,-232.5,-149.9,-145.9,-157.9
497,-284.4,-151,-166.6,-150.9
498,-279.8,-153.8,-143.8,-175
499,-245.7,-151.4,-170.1,-140.9
500,-224.4,-141.7,-152.9,-147.1
501,-195.6,-155.2,-154.8,-165.5
502,-238.1,-118.4,-164.6,-160
503,-214.7,-161,-140.6,-129.8
504,-192.9,-148.4,-180.1,-134
505,-208.7,-144.5,-152.6,-127.4
506,-215.1,-177.8,-153.2,-166.5
507,-197.2,-148.4,-173.7,-164.2
508,-220.8,-129.5,-160.5,-171.8
509,-189.9,-171.3,-143.8,-144.5
510,-164.5,-146.8,-150.7,-134.1
511,-172.9,-157.3,-132.6,-135.5
512,-229.4,-151.2,-138.5,-138.9
513,-202.7,-148,-135.7,-125.5
514,-242.4,-127.4,-131.2,-176.5
515,-205.2,-138.4,-148.7,-157.7
516,-222.6,-155.5,-155.6,-159.5
